pair_id	task_id	trial	route	valid_result	task_complete	recovered	attempt_count	rejected_attempt_count	tool_interactions	input_tokens	output_tokens	cost_usd	review_sha256
align-toolbar-icons-01-1001	align-toolbar-icons	1	direct-svg	true	true	false	1	0	1	5166	1042	0.0	sha256:8632f52d0bc542806e277506b8217ab490889c9af8c52f0c3b766a69bad9942e
align-toolbar-icons-01-1001	align-toolbar-icons	1	semantic	false	false	false	0	0	6	38433	9010	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
align-toolbar-icons-02-1002	align-toolbar-icons	2	direct-svg	true	true	false	1	0	1	4896	785	0.0	sha256:8632f52d0bc542806e277506b8217ab490889c9af8c52f0c3b766a69bad9942e
align-toolbar-icons-02-1002	align-toolbar-icons	2	semantic	false	false	false	0	0	5	34735	7921	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
align-toolbar-icons-03-1003	align-toolbar-icons	3	direct-svg	true	true	false	1	0	1	5178	1060	0.0	sha256:8632f52d0bc542806e277506b8217ab490889c9af8c52f0c3b766a69bad9942e
align-toolbar-icons-03-1003	align-toolbar-icons	3	semantic	false	false	false	0	0	4	22978	7505	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
align-toolbar-icons-04-1004	align-toolbar-icons	4	direct-svg	true	true	false	1	0	1	12556	1940	0.0	sha256:8632f52d0bc542806e277506b8217ab490889c9af8c52f0c3b766a69bad9942e
align-toolbar-icons-04-1004	align-toolbar-icons	4	semantic	false	false	false	0	0	6	39650	9619	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
align-toolbar-icons-05-1005	align-toolbar-icons	5	direct-svg	false	false	false	0	0	0	27062	7760	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
align-toolbar-icons-05-1005	align-toolbar-icons	5	semantic	false	false	false	0	0	5	29761	8385	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
animate-dot-entrance-01-1001	animate-dot-entrance	1	direct-svg	true	false	false	1	0	1	4976	998	0.0	sha256:9aa8fc798590196c6f0eb3f73ec1deb9cd74879df4615a5cca37abe138f4dc63
animate-dot-entrance-01-1001	animate-dot-entrance	1	semantic	false	false	false	0	0	2	27553	8043	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
animate-dot-entrance-02-1002	animate-dot-entrance	2	direct-svg	true	false	false	1	0	1	5000	935	0.0	sha256:9aa8fc798590196c6f0eb3f73ec1deb9cd74879df4615a5cca37abe138f4dc63
animate-dot-entrance-02-1002	animate-dot-entrance	2	semantic	false	false	false	0	0	2	10155	5929	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
animate-dot-entrance-03-1003	animate-dot-entrance	3	direct-svg	true	false	false	1	0	1	4947	971	0.0	sha256:9aa8fc798590196c6f0eb3f73ec1deb9cd74879df4615a5cca37abe138f4dc63
animate-dot-entrance-03-1003	animate-dot-entrance	3	semantic	false	false	false	0	0	6	32478	8320	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
animate-dot-entrance-04-1004	animate-dot-entrance	4	direct-svg	true	false	false	1	0	1	4935	948	0.0	sha256:9aa8fc798590196c6f0eb3f73ec1deb9cd74879df4615a5cca37abe138f4dc63
animate-dot-entrance-04-1004	animate-dot-entrance	4	semantic	false	false	false	0	0	5	28669	8185	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
animate-dot-entrance-05-1005	animate-dot-entrance	5	direct-svg	true	false	false	1	0	1	4987	1016	0.0	sha256:9aa8fc798590196c6f0eb3f73ec1deb9cd74879df4615a5cca37abe138f4dc63
animate-dot-entrance-05-1005	animate-dot-entrance	5	semantic	false	false	false	0	0	12	248388	17252	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
continue-after-compaction-01-1001	continue-after-compaction	1	direct-svg	true	true	true	1	0	1	5086	757	0.0	sha256:f5fe3fa55978ed14df1ce8955992cc8235dadb295651240860fe9ce5fc62995c
continue-after-compaction-01-1001	continue-after-compaction	1	semantic	false	false	false	0	0	9	73290	11377	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
continue-after-compaction-02-1002	continue-after-compaction	2	direct-svg	true	true	true	1	0	1	5353	1017	0.0	sha256:f5fe3fa55978ed14df1ce8955992cc8235dadb295651240860fe9ce5fc62995c
continue-after-compaction-02-1002	continue-after-compaction	2	semantic	false	false	false	0	0	5	31282	7725	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
continue-after-compaction-03-1003	continue-after-compaction	3	direct-svg	true	true	true	1	0	1	5346	1012	0.0	sha256:f5fe3fa55978ed14df1ce8955992cc8235dadb295651240860fe9ce5fc62995c
continue-after-compaction-03-1003	continue-after-compaction	3	semantic	false	false	false	0	0	5	32239	8090	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
continue-after-compaction-04-1004	continue-after-compaction	4	direct-svg	true	true	true	1	0	1	5451	1108	0.0	sha256:f5fe3fa55978ed14df1ce8955992cc8235dadb295651240860fe9ce5fc62995c
continue-after-compaction-04-1004	continue-after-compaction	4	semantic	false	false	false	0	0	5	30153	7448	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
continue-after-compaction-05-1005	continue-after-compaction	5	direct-svg	true	true	true	1	0	1	5098	752	0.0	sha256:f5fe3fa55978ed14df1ce8955992cc8235dadb295651240860fe9ce5fc62995c
continue-after-compaction-05-1005	continue-after-compaction	5	semantic	false	false	false	0	0	5	34738	8834	0.0	sha256:4f13b02d89398404ecc0d013531d36da823f9bf51969d9784535ed4c77f0d11a
create-status-badge-01-1001	create-status-badge	1	direct-svg	true	true	false	1	0	1	4563	762	0.0	sha256:9e6f8c583eb7a21fea8cccfa3d29e632c6f7ed208f60086a0b26091dd90e22b0
